W681000001;27-1446;;;759S;2001-10-11;2022-03-31;2001-10-27;2018-12-27;R;S;ENFANTS DE TCHERNOBYL BELARUS;ENFANTS DE TCHERNOBYL BELARUS;Aide aux enfants dans les régions de Belarus contaminées à la suite de la catastrophe de Tchernobyl, y compris l'organisation de cures de ces enfants en France ; aide humanitaire et aide à la recherche indépendante liée à la catastrophe de Tchernobyl ; diffusion d'informations sur les conséquences de la catastrophe de Tchernobyl ; collaboration avec des organisations d'autres pays ayant les mêmes objectifs.;020015;000000;Yves Lenoir;58;;RUE;Bobillot;75013_Paris;75113;75013;PARIS;;RéSIDENCE LES JARDINS D'EMERAUDE;;28 BIS  RUE DE LA REPUBLIQUE;;22770;LANCIEUX;FRANCE;PM;;1;;A;2022-03-31 11:40:35;true
W681000002;29-1668;;;372P;2007-06-05;2019-06-25;0001-01-01;0001-01-01;D;S;ASSOCIATION DES ANCIENS DU 72EME BATAILLON DU GENIE DE DRA-EL-MIZAN (ALGERIE 1956-1961) (A.A. 72EME BG - D.E.M.);A.A. 72EME BG - D.E.M.;promouvoir la mémoire du 72ème Bataillon du Génie ayant opéré pendant la Guerre d'Algérie dans le secteur de Dra-El-Mizan en Grande Kabylie, au sein de la 27ème D.I.A. durant les années1956 à 1961, et particulièrement : de faire connaître à nos concitoyens (notamment les jeunes générations, l'action militaire exemplaire que nous avons menée et notre engagement auprès de la population minée par la peur et les menaces ; de faire valoir nos vérités et nos valeurs, que la vérité historique soit conn;038105;000000;Résidence du Front de Cher;14;;ALL;de Venise;_;37261;37200;Tours;;;RéSIDENCE DU FRONT DE CHER;14 ALLéE DE VENISE;;37200;TOURS;FRANCE;PM;;1;;A;2019-07-04 17:02:03;true
;29-1668;;;372P;2007-06-05;2019-06-25;0001-01-01;0001-01-01;D;S;ASSOCIATION DES ANCIENS DU 72EME BATAILLON DU GENIE DE DRA-EL-MIZAN (ALGERIE 1956-1961) (A.A. 72EME BG - D.E.M.);A.A. 72EME BG - D.E.M.;promouvoir la mémoire du 72ème Bataillon du Génie ayant opéré pendant la Guerre d'Algérie dans le secteur de Dra-El-Mizan en Grande Kabylie, au sein de la 27ème D.I.A. durant les années1956 à 1961, et particulièrement : de faire connaître à nos concitoyens (notamment les jeunes générations, l'action militaire exemplaire que nous avons menée et notre engagement auprès de la population minée par la peur et les menaces ; de faire valoir nos vérités et nos valeurs, que la vérité historique soit conn;038105;000000;Résidence du Front de Cher;14;;ALL;de Venise;_;37261;37200;Tours;;;RéSIDENCE DU FRONT DE CHER;14 ALLéE DE VENISE;;37200;TOURS;FRANCE;PM;;1;;A;2019-07-04 17:02:03;false
W681000002;29-1668;;;372P;2007-06-05;2019-06-25;0001-01-01;0001-01-01;D;S;ASSOCIATION DES ANCIENS DU 72EME BATAILLON DU GENIE DE DRA-EL-MIZAN (ALGERIE 1956-1961) (A.A. 72EME BG - D.E.M.);A.A. 72EME BG - D.E.M.;promouvoir la mémoire du 72ème Bataillon du Génie ayant opéré pendant la Guerre d'Algérie dans le secteur de Dra-El-Mizan en Grande Kabylie, au sein de la 27ème D.I.A. durant les années1956 à 1961, et particulièrement : de faire connaître à nos concitoyens (notamment les jeunes générations, l'action militaire exemplaire que nous avons menée et notre engagement auprès de la population minée par la peur et les menaces ; de faire valoir nos vérités et nos valeurs, que la vérité historique soit conn;038105;000000;Résidence du Front de Cher;14;;ALL;de Venise;_;37261;37200;Tours;;;RéSIDENCE DU FRONT DE CHER;14 ALLéE DE VENISE;;37200;TOURS;FRANCE;PM;;1;;A;2019-07-04 17:02:03;false
;29-1668;;;372P;2007-06-05;2019-06-25;0001-01-01;0001-01-01;D;S;ASSOCIATION DES ANCIENS DU 72EME BATAILLON DU GENIE DE DRA-EL-MIZAN (ALGERIE 1956-1961) (A.A. 72EME BG - D.E.M.);A.A. 72EME BG - D.E.M.;promouvoir la mémoire du 72ème Bataillon du Génie ayant opéré pendant la Guerre d'Algérie dans le secteur de Dra-El-Mizan en Grande Kabylie, au sein de la 27ème D.I.A. durant les années1956 à 1961, et particulièrement : de faire connaître à nos concitoyens (notamment les jeunes générations, l'action militaire exemplaire que nous avons menée et notre engagement auprès de la population minée par la peur et les menaces ; de faire valoir nos vérités et nos valeurs, que la vérité historique soit conn;038105;000000;Résidence du Front de Cher;14;;ALL;de Venise;_;37261;37200;Tours;;;RéSIDENCE DU FRONT DE CHER;14 ALLéE DE VENISE;;37200;TOURS;FRANCE;PM;;1;;A;2019-07-04 17:02:03;false
W681000003;1316;;;122P;1998-06-24;2017-02-10;1998-06-30;0001-01-01;D;S;ASSOCIATION DE RECHERCHE PLURIDISCIPLINAIRE -ARP;ARP;mise en valeur du patrimoine en matière géobiologie, spéléologique, géologique, paléontologique, paléoanthropologie, préhistorique, archéologique, recherche de trésors familiaux, détection de loisir (hors sites classés et visant la préhistoire, l'archéologie ou l'histoire) ; assistance aux associations, collectivités et services publics pour toutes opérations techniques ou scientifiques en rapport avec les disciplines énumérées ci-avant, sans limite géographique;010000;000000;;16;;RUE;des gentianes - quatre saisons;_;12176;12000;Onet-le-Château;;;;16 RUE DES GENTIANES;;12850;ONET LE CHATEAU;FRANCE;PM;;1;Création enregistrée eu tribunal d'instance d'Altkirch (68130);A;2017-08-12 20:00:08;true
W682000001;2382;;;551P;1996-07-09;2018-11-08;1996-09-11;0001-01-01;D;S;LES MOTS DU VENT;LES MOTS DU VENT;CREER UNE ANIMATION CULTURELLE A CARACTERE THEATRAL SUR LE THEME DES CONTES ET DE LA LITTERATURE ORALE; creation et diffusion de spectacles;organisation de manifestations;activites de formation ainsi que toute initiative aidant a la realisation de cet objet;006070;000000;;6;;RUE;Sainte-Marguerite;_;55029;55000;Bar-le-Duc;;;;6  RUE SAINTE-MARGUERITE;;55000;BAR-LE-DUC;FRANCE;PF;;1;DOSSIER VENANT DU HAUT RHIN PUBLICATION FAITE DANS LE JOURNAL L ALSACE;A;2018-11-08 09:36:12;true
W682000002;60 F 8;;;071S;2005-12-21;2020-09-28;2006-01-12;0001-01-01;D;S;CLUB TAUNUS TC;CLUB TAUNUS TC;réunir les passionnés d'automobiles anciennes et plus particulièrement la série Taunus TC produite en 3 versions par Ford de 1970 à 1982;échanger informations, documentations et toute donnée relative à ces modèles ; regrouper les annonces de vente de véhicules ou de recherches de pièces ; créer un lien entre les membres grâce à un bulletin papier et l'internet;007030;000000;;1040;;RTE;DE RUOMS;_;07348;07200;Vogüé;;;;4 RUE MARGUERITE BERVOëTS;;78280;GUYANCOURT;FRANCE;PM;;1;;A;2020-10-07 15:08:48;true
W682000003;22952;;;491P;2001-12-21;2012-12-04;0001-01-01;2012-11-30;D;F;AMICALE DES ANCIENS DES 3 EME ET 9 EME RÉGIMENTS DE SPAHIS ALGÉRIENS;AMICALE DES ANCIENS DES 3 EME ET 9 ...;reprendre, maintenir et resserrer les leins d'amities noués au Régiment et l'esprit qui les a animés;038105;000000;;45;;RUE;de Champigné;_;49135;49460;Feneu;;;;45 RUE DE CHAMPIGNE;;49460;FENEU;FRANCE;PM;;1;;D;2012-12-15 12:46:25;true
W682000004;T.I.COLMAR;;;701S;2011-04-15;2014-09-08;0001-01-01;0001-01-01;D;S;SEKOLY TAFITA SOA;SEKOLY TAFITA SOA;but humanitaire ; permettre la scolarisation des enfants de la région de SAVA située dans le département de Antsiranana (Diego Suarez) qui regroupe les districts de Sambava, Antalaha, Vohemar et Andapa;020000;000000;;7;;RUE;des Acacias;_;70285;70400;Héricourt;;;;7 RUE DES ACACIAS;;70400;HERICOURT;FRANCE;PM;;1;;A;2015-03-09 20:00:04;true
W682000005;6677;;;211S;2008-09-08;2015-01-28;1901-07-01;0001-01-01;D;S;LES AMIS DE CLAUDIO;LES AMIS DE CLAUDIO;pratique privée et publique du chant choral;006030;000000;;15;;RUE;de Cîteaux;_;21412;21190;Meursault;;;;15  RUE DE CîTEAUX;;21190;MEURSAULT;FRANCE;PM;;1;;A;2015-02-02 15:08:06;true
W682000106;61/24;;;691P;2007-01-10;2018-04-12;0001-01-01;0001-01-01;D;S;AMICALE DES ANCIENS DU 9ÈME RÉGIMENT DU GÉNIE (A.A. 9ÈME R.G.);A.A. 9ÈME R.G.;maintenir et développer l'esprit de défense ; entretenir entre tous ses membres, la solidarité et les relations amicales, dans le respect des traditions ; développer entre ses membres la protection et l'aide en toutes circonstances par les moyens dont chaque adhérent et l'amicale disposent ; entretenir l'esprit civique de ses membres et l'attachement aux valeurs supérieures ; développer et consolider le lien entre la société militaire et la société civile ; oeuvrer dans l'intérêt de la Nation;038000;000000;Cercle Bellecour;22;;AV;Leclerc;_Quartier Général Frère;69387;69363;Lyon Cedex 07;;;;6 RUE DES EGLANTINES;;69340;FRANCHEVILLE;FRANCE;PM;;1;;A;2018-04-16 15:13:35;true
W683000101;23-1364;;;252S;1999-04-15;2018-04-27;0001-01-01;0001-01-01;D;S;ASSOCIATION REGIONALE D'EQUITATION WESTERN DE L'EST - AREW EST;ASSOCIATION REGIONALE D'EQUITATION...;promouvoir, développer et pratiquer l'équitation western ; développer, organiser et superviser des compétitions d'équitation western  ; réaliser des réunions d'informations, de contact, d'activités et d'échanges en matière équestre ; établir des liens, des contacts, des échanges avec des organismes équestres et associations français et étrangers;011050;000000;;1;;IMP;des Hirondelles;_;25040;25490;Badevel;;;;1 IMPASSE DES HIRONDELLES;;25490;BADEVEL;FRANCE;PF;;1;;A;2018-05-26 12:45:37;true
